Brand,Name,Category,Reviews,Price,Rating
cradiac,"cradiac alpha pro  6061 alloy frame  shimano acera 29 t mountain cycle  (21 gear, green, only front suspension)",Cycles,good product,17999.0,4.3
cradiac,"cradiac alpha pro  6061 alloy frame  shimano acera 29 t mountain cycle  (21 gear, green, only front suspension)",Cycles,nice product,17999.0,4.3
cradiac,"cradiac alpha pro  6061 alloy frame  shimano acera 29 t mountain cycle  (21 gear, green, only front suspension)",Cycles,overall cycle great value money suspension god level loved itshould go price range,17999.0,4.3
cradiac,"cradiac alpha pro  6061 alloy frame  shimano acera 29 t mountain cycle  (21 gear, green, only front suspension)",Cycles,nice mtb love,17999.0,4.3
cradiac,"cradiac alpha pro  6061 alloy frame  shimano acera 29 t mountain cycle  (21 gear, green, only front suspension)",Cycles,good product,17999.0,4.3
cradiac,"cradiac alpha pro  6061 alloy frame  shimano acera 29 t mountain cycle  (21 gear, green, only front suspension)",Cycles,awesome product great build smooth gear smooth suspension poor tyre poor brake,17999.0,4.3
cradiac,"cradiac alpha pro  6061 alloy frame  shimano acera 29 t mountain cycle  (21 gear, green, only front suspension)",Cycles,amazing design band build quality good solid look amazing,17999.0,4.3
cradiac,"cradiac alpha pro  6061 alloy frame  shimano acera 29 t mountain cycle  (21 gear, green, only front suspension)",Cycles,nice productjust love itvalue money,17999.0,4.3
cradiac,"cradiac alpha pro  6061 alloy frame  shimano acera 29 t mountain cycle  (21 gear, green, only front suspension)",Cycles,good looking value money,17999.0,4.3
cradiac,"cradiac alpha pro  6061 alloy frame  shimano acera 29 t mountain cycle  (21 gear, green, only front suspension)",Cycles,best segment,17999.0,4.3
cradiac,"cradiac alpha pro  6061 alloy frame  shimano acera 29 t mountain cycle  (21 gear, green, only front suspension)",Cycles,amazing purchase received good condition already properly assembled even scratch cycle packed top feature love,17999.0,4.3
cradiac,"cradiac alpha pro  6061 alloy frame  shimano acera 29 t mountain cycle  (21 gear, green, only front suspension)",Cycles,youre wondering buy entry lvl cycle best mtb close ur eye n buy great smooth rear gear shifting find front shifting bit hard ur new gear cycle ppl including found max gear chain rubbing something front derailer adjustable fine break ppl find hard working much coz pad tightend bit much till point,17999.0,4.3
cradiac,"cradiac alpha pro  6061 alloy frame  shimano acera 29 t mountain cycle  (21 gear, green, only front suspension)",Cycles,product good quality brake amr low good looking frame,17999.0,4.3
cradiac,"cradiac alpha pro  6061 alloy frame  shimano acera 29 t mountain cycle  (21 gear, green, only front suspension)",Cycles,best worth buying price range,17999.0,4.3
cradiac,"cradiac alpha pro  6061 alloy frame  shimano acera 29 t mountain cycle  (21 gear, green, only front suspension)",Cycles,good product impressed feature look,17999.0,4.3
cradiac,"cradiac alpha pro  6061 alloy frame  shimano acera 29 t mountain cycle  (21 gear, green, only front suspension)",Cycles,good product,17999.0,4.3
cradiac,"cradiac alpha pro  6061 alloy frame  shimano acera 29 t mountain cycle  (21 gear, green, only front suspension)",Cycles,perfect weight balance good quality gear brake beginner friendly great customer care support tungsten pvt ltd must buy k budget,17999.0,4.3
cradiac,"cradiac alpha pro  6061 alloy frame  shimano acera 29 t mountain cycle  (21 gear, green, only front suspension)",Cycles,best cycle value money,17999.0,4.3
cradiac,"cradiac alpha pro  6061 alloy frame  shimano acera 29 t mountain cycle  (21 gear, green, only front suspension)",Cycles,good quality product like mtb,17999.0,4.3
cradiac,"cradiac alpha pro  6061 alloy frame  shimano acera 29 t mountain cycle  (21 gear, green, only front suspension)",Cycles,good product,17999.0,4.3
cradiac,"cradiac alpha pro  6061 alloy frame  shimano acera 29 t mountain cycle  (21 gear, green, only front suspension)",Cycles,product excellentbut accessory quality low flipkart delivery service low class market friendly behaviour customer,17999.0,4.3
